Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Seller Type,Charging Type,Date Listed,Source
VinFast,VinFast VF 8,2022,45929.82745916325,0.0,Like New,Siem Reap,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,21-07-2022,Synthetic (New Formula)
MG,MG 4 EV,2024,28026.094965577242,35800.0,Like New,Kep,Silver,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,27-08-2025,Synthetic (New Formula)
BYD,BYD Seal,2022,39156.323151241435,19566.0,Like New,Sihanoukville,Grey,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,18-02-2025,Synthetic (New Formula)
VinFast,VinFast VF 9,2022,68695.94089686594,11984.0,Good,Phnom Penh,White,123,438,300,6.5,Authorized Dealer,GB-T/CCS2,11/2/2023,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2022,27391.260487867854,4836.0,Good,Phnom Penh,Black,42.8,301,120,8.5,Authorized Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2025,24212.926358470504,1100.0,Excellent,Phnom Penh,Black,42.8,301,120,8.5,Authorized Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
VinFast,VinFast VF 9,2023,70522.84291987558,25564.0,Good,Battambang,Black,123,438,300,6.5,Private,GB-T/CCS2,25-08-2025,Synthetic (New Formula)
AION,AION V,2024,41972.732970339595,23914.0,Excellent,Phnom Penh,Black,68.8/80,480-610,165,7.1,Private,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,40778.736490226154,1185.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,13-07-2024,Synthetic (New Formula)
MG,MG 5,2023,22713.359670311504,24075.0,Excellent,Phnom Penh,Black,61.1,403,130,7.7,Private,GB-T/CCS2,18-06-2020,Synthetic (New Formula)
VinFast,VinFast VF 9,2021,68313.2280687548,8325.0,Like New,Phnom Penh,Silver,123,438,300,6.5,Private,GB-T/CCS2,16-11-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2021,47531.04470656987,8400.0,Excellent,Sihanoukville,Green,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,25-09-2020,Synthetic (New Formula)
Zeekr,Zeekr 001,2025,71102.2115495411,8760.0,Good,Phnom Penh,Black,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,3/10/2025,Synthetic (New Formula)
BYD,BYD Atto 3,2022,28804.249384809336,4740.0,New,Phnom Penh,Black,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,12/7/2023,Synthetic (New Formula)
MG,MG ZS EV,2025,29254.431968675137,26505.0,New,Kratie,Red,50.3/72.6,320-440,115,8.6,Dealer,GB-T/CCS2,10/12/2020,Synthetic (New Formula)
AION,AION V,2022,44813.49837705001,32800.0,New,Phnom Penh,Black,68.8/80,480-610,165,7.1,Private,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
BYD,BYD Seagull,2022,20227.87889589757,1185.0,Excellent,Preah Vihear,White,30/38.88,190-305,55,,Private,GB-T/CCS2,17-03-2023,Synthetic (New Formula)
Deepal,Deepal L07,2023,44003.20440265494,10030.0,New,Battambang,White,31.6,200 PHEV,160,7.3,Dealer,GB-T/CCS2,16-12-2024,Synthetic (New Formula)
Zeekr,Zeekr X,2023,54966.85434156987,22770.0,Fair,Kep,Cosmos Black,66,440,200,5.6,Private,GB-T/CCS2,4/2/2024,Synthetic (New Formula)
AITO,AITO M7,2023,60034.64686241905,0.0,New,Phnom Penh,Silver,40,200 PHEV,330,4.8,Private,GB-T/CCS2,16-05-2022,Synthetic (New Formula)
VinFast,VinFast VF 9,2024,63487.92840682294,26535.0,Like New,Battambang,Black,123,438,300,6.5,Private,GB-T/CCS2,25-08-2025,Synthetic (New Formula)
Zeekr,Zeekr 007,2023,61630.02363586435,0.0,Excellent,Phnom Penh,Red,75/100,530-688,310,3.5,Private,GB-T/CCS2,3/2/2025,Synthetic (New Formula)
AION,AION ES,2025,32114.19600012033,55154.0,New,Phnom Penh,White,55.6,410,150,7.5,Authorized Dealer,GB-T/CCS2,2/5/2025,Synthetic (New Formula)
BYD,BYD Seal,2025,35036.39911807597,0.0,Excellent,Siem Reap,Black,61.4/82.5,400-550,150,3.8,Dealer,GB-T/CCS2,18-09-2022,Synthetic (New Formula)
VinFast,VinFast VF 9,2025,62243.91303546111,0.0,Like New,Phnom Penh,Silver,123,438,300,6.5,Private,GB-T/CCS2,16-11-2023,Synthetic (New Formula)
Kia,Kia EV9,2023,90356.7957946039,59940.0,Good,Phnom Penh,Black,99.8,541,283,5.3,Private,GB-T/CCS2,9/6/2023,Synthetic (New Formula)
XPeng,XPeng G6,2025,50711.358650051254,52560.0,New,Battambang,Green,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,15-12-2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2023,58102.81024936688,12987.0,Fair,Phnom Penh,Grey,53/77.4,429-614,151,8.1,Authorized Dealer,GB-T/CCS2,17-10-2024,Synthetic (New Formula)
Tesla,Tesla Model Y,2021,68148.00005421921,42883.0,New,Phnom Penh,Grey,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,28-02-2024,Synthetic (New Formula)
XPeng,XPeng G6,2025,44805.65708522499,8020.0,New,Kampot,Red,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,3/1/2024,Synthetic (New Formula)
BYD,BYD Han,2022,58798.7261249052,9536.0,Excellent,Phnom Penh,Orange,76.9/85.4,500-610,180,3.9,Authorized Dealer,GB-T/CCS2,9/9/2021,Synthetic (New Formula)
BYD,BYD Seal 5,2024,22479.609864147576,9900.0,Excellent,Preah Vihear,White,15.8,80 PHEV,110,7.9,Authorized Dealer,GB-T/CCS2,1/5/2024,Synthetic (New Formula)
Kia,Kia EV5,2023,35741.54071122063,11984.0,Fair,Phnom Penh,Black,64.2/88,400-600,160,7.5,Authorized Dealer,GB-T/CCS2,8/9/2023,Synthetic (New Formula)
BYD,BYD Dolphin,2024,24266.005461236877,0.0,Good,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,21-05-2022,Synthetic (New Formula)
VinFast,VinFast VF 9,2025,70820.9759994466,43563.0,New,Kampong Cham,Silver,123,438,300,6.5,Private,GB-T/CCS2,6/10/2024,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,57061.08015063782,0.0,Like New,Phnom Penh,Silver,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,10/10/2023,Synthetic (New Formula)
Avatr,Avatr 11,2022,70437.04420070934,12844.0,New,Siem Reap,Red,90/116,555-700,230,3.9,Private,GB-T/CCS2,4/4/2024,Synthetic (New Formula)
Denza,Denza D9,2025,85383.41464233483,25048.0,Like New,Phnom Penh,Black,103,600,230,6.9,Authorized Dealer,GB-T/CCS2,6/7/2022,Synthetic (New Formula)
VinFast,VinFast VF 6,2025,25897.245770393725,19362.0,New,Phnom Penh,Grey,59.6,399,110,,Private,GB-T/CCS2,16-09-2023,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2023,74985.11354632348,11820.0,Like New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Dealer,GB-T/CCS2,3/12/2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2023,77348.83343143105,26625.0,Like New,Sihanoukville,Blue,86/100,560-620,200,3.3,Private,GB-T/CCS2,11/8/2023,Synthetic (New Formula)
Avatr,Avatr 07,2025,46691.035473241776,17388.0,Like New,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,2/6/2024,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2020,12903.68122231345,1846.0,Fair,Phnom Penh,Red,41.3,403,80,,Dealer,GB-T/CCS2,5/8/2025,Synthetic (New Formula)
Kia,Kia EV5,2023,36869.17333640346,26280.0,Like New,Phnom Penh,Black,64.2/88,400-600,160,7.5,Authorized Dealer,GB-T/CCS2,8/9/2023,Synthetic (New Formula)
Tesla,Tesla Model Y,2023,63609.134394952554,20286.0,New,Phnom Penh,Grey,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,28-02-2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2021,79596.46355948974,15521.0,New,Phnom Penh,White,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,15-02-2023,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2024,27385.53549534733,13395.0,Fair,Phnom Penh,Silver,42.8,301,120,8.5,Dealer,GB-T/CCS2,16-08-2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2024,45003.3264054267,5110.0,New,Preah Vihear,Blue,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,9/4/2022,Synthetic (New Formula)
Tesla,Tesla Model Y,2025,63231.02406846163,43650.0,Like New,Siem Reap,White,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,9/7/2023,Synthetic (New Formula)
BYD,BYD Seagull,2024,21862.458881974708,43440.0,New,Phnom Penh,Silver,30/38.88,190-305,55,,Dealer,GB-T/CCS2,18-08-2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,47393.36736251949,19362.0,Like New,Kampong Cham,Blue,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,8/10/2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,46148.23327527976,22512.0,New,Sihanoukville,Black,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,27-11-2021,Synthetic (New Formula)
Toyota,Toyota bZ4X,2023,49581.0025514169,41667.0,New,Preah Vihear,Black,71.4,500,150,7.1,Dealer,GB-T/CCS2,1/5/2025,Synthetic (New Formula)
Kia,Kia EV6,2025,47966.225006774264,1112.0,New,Phnom Penh,Grey,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,19-03-2022,Synthetic (New Formula)
VinFast,VinFast VF 6,2024,25041.07727098507,0.0,Excellent,Sihanoukville,White,59.6,399,110,,Private,GB-T/CCS2,18-03-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,44443.51339591932,7980.0,New,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,9/12/2020,Synthetic (New Formula)
BYD,BYD Dolphin,2024,26644.223012813203,41667.0,Excellent,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,21-05-2022,Synthetic (New Formula)
XPeng,XPeng G6,2023,49434.518260464894,6114.0,Like New,Battambang,Green,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,15-12-2023,Synthetic (New Formula)
AITO,AITO M7,2022,59853.033260128796,975.0,Like New,Phnom Penh,White,40,200 PHEV,330,4.8,Private,GB-T/CCS2,7/1/2024,Synthetic (New Formula)
BYD,BYD Dolphin,2024,25979.763170503935,35178.0,Excellent,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,28-07-2023,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,45636.315826453305,4995.0,Like New,Preah Vihear,Blue,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,11/12/2022,Synthetic (New Formula)
BYD,BYD Sealion 7,2024,44794.88001394587,39865.0,Like New,Siem Reap,Green,71.8/91.3,460-567,230,4.5,Authorized Dealer,GB-T/CCS2,25-09-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,49207.77092205953,46942.0,Good,Phnom Penh,White,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,28-04-2025,Synthetic (New Formula)
Nissan,Nissan Leaf,2022,31044.636124788765,21489.0,Good,Battambang,Black,40/62,240-385,110,7.0,Private,GB-T/CCS2,26-02-2022,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2023,41461.77954812663,944.0,New,Phnom Penh,Grey,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,3/12/2021,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,46857.65717698914,38988.0,Excellent,Kep,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,13-09-2025,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,63113.14920356886,960.0,Like New,Phnom Penh,White,60/75/82,430-600,220,6.9,Dealer,GB-T/CCS2,16-11-2024,Synthetic (New Formula)
AITO,AITO M5,2021,49564.87282071652,16282.0,Excellent,Kep,Cosmos Black,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,10/12/2022,Synthetic (New Formula)
Avatr,Avatr 07,2022,54151.293184453825,55944.0,Excellent,Phnom Penh,White,62.2/100.5,420-621,190,4.9,Private,GB-T/CCS2,23-08-2025,Synthetic (New Formula)
BYD,BYD Atto 3,2022,30184.139972337736,5535.0,Like New,Phnom Penh,Black,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,12/7/2023,Synthetic (New Formula)
BYD,BYD Dolphin,2025,23854.16804381473,0.0,New,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,3/5/2025,Synthetic (New Formula)
BYD,BYD Seagull,2024,19224.125618946742,0.0,New,Phnom Penh,Grey,30/38.88,190-305,55,,Authorized Dealer,GB-T/CCS2,12/9/2023,Synthetic (New Formula)
BYD,BYD Tang,2023,62847.16990155978,5110.0,Like New,Battambang,White,86.4/108.8,400-530,180,4.6,Private,GB-T/CCS2,10/4/2025,Synthetic (New Formula)
Avatr,Avatr 07,2023,48939.16155827411,10320.0,Excellent,Phnom Penh,Grey,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2023,26675.92609246835,18649.0,Excellent,Sihanoukville,Black,42.8,301,120,8.5,Private,GB-T/CCS2,3/2/2025,Synthetic (New Formula)
Deepal,Deepal L07,2024,52177.25724778258,45068.0,New,Phnom Penh,White,31.6,200 PHEV,160,7.3,Dealer,GB-T/CCS2,26-08-2025,Synthetic (New Formula)
Toyota,Toyota bZ4X,2021,49246.938157577984,19343.0,Excellent,Phnom Penh,White,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,22-10-2024,Synthetic (New Formula)
Zeekr,Zeekr X,2023,60638.31801239454,43563.0,New,Kampong Cham,Black,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,7/1/2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2023,41576.018696390325,0.0,Like New,Kep,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,13-09-2025,Synthetic (New Formula)
Mercedes,Mercedes EQB,2023,68426.66084677668,18202.0,Excellent,Sihanoukville,Red,66.5,419,168,8.0,Dealer,GB-T/CCS2,26-07-2024,Synthetic (New Formula)
BYD,BYD Sealion 6,2023,51120.35426349149,37296.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,7/2/2024,Synthetic (New Formula)
AITO,AITO M7,2023,60948.450615670525,10881.0,New,Siem Reap,White,40,200 PHEV,330,4.8,Private,GB-T/CCS2,11/1/2023,Synthetic (New Formula)
BMW,BMW iX1,2020,62684.2008706564,33139.0,Excellent,Phnom Penh,Silver,64.7,417,150,8.6,Private,GB-T/CCS2,7/4/2022,Synthetic (New Formula)
BYD,BYD Seagull,2024,19822.563797775307,4995.0,Like New,Battambang,Black,30/38.88,190-305,55,,Authorized Dealer,GB-T/CCS2,14-01-2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,42931.060776320955,9536.0,Good,Siem Reap,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
MG,MG 4 EV,2023,24456.894378300854,5110.0,New,Battambang,Black,51/64/77,350-520,125,7.7,Private,GB-T/CCS2,13-11-2022,Synthetic (New Formula)
BYD,BYD Tang,2024,62654.19599064248,6060.0,New,Phnom Penh,Silver,86.4/108.8,400-530,180,4.6,Private,GB-T/CCS2,12/1/2024,Synthetic (New Formula)
BYD,BYD M9,2025,60937.58781627009,9900.0,Fair,Phnom Penh,Black,52,180 PHEV,180,,Private,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
BYD,BYD Seal,2022,41648.024360895964,38988.0,Excellent,Phnom Penh,Grey,61.4/82.5,400-550,150,3.8,Authorized Dealer,GB-T/CCS2,17-02-2023,Synthetic (New Formula)
BYD,BYD Dolphin,2023,25695.801019862014,11964.0,Excellent,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,28-07-2023,Synthetic (New Formula)
Avatr,Avatr 07,2025,51794.7369037032,55676.0,New,Phnom Penh,Grey,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
Deepal,Deepal S07,2022,59992.7037601804,33694.0,New,Phnom Penh,Black,31.6/80,200 PHEV,190,6.7,Dealer,GB-T/CCS2,13-03-2024,Synthetic (New Formula)
AITO,AITO M5,2022,47970.51816213495,0.0,New,Siem Reap,White,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,11/2/2023,Synthetic (New Formula)
Avatr,Avatr 11,2023,68249.40538879344,41328.0,New,Battambang,White,90/116,555-700,230,3.9,Private,GB-T/CCS2,18-05-2022,Synthetic (New Formula)
BYD,BYD Dolphin,2025,24030.570538495318,4308.0,Good,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,3/4/2023,Synthetic (New Formula)
Nissan,Nissan Leaf,2025,27841.084183137318,7525.0,Excellent,Phnom Penh,Grey,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,10/4/2021,Synthetic (New Formula)
BYD,BYD Seal,2023,36719.0287360617,23400.0,New,Phnom Penh,Grey,61.4/82.5,400-550,150,3.8,Authorized Dealer,GB-T/CCS2,17-02-2023,Synthetic (New Formula)
Avatr,Avatr 11,2022,70707.47577069457,11820.0,Like New,Phnom Penh,White,90/116,555-700,230,3.9,Authorized Dealer,GB-T/CCS2,27-08-2025,Synthetic (New Formula)
AITO,AITO M5,2024,50047.413418042815,33252.0,Fair,Phnom Penh,Grey,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,6/4/2024,Synthetic (New Formula)
Mercedes,Mercedes EQB,2022,67065.63000106551,18972.0,New,Preah Vihear,Silver,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,16-05-2022,Synthetic (New Formula)
Kia,Kia EV9,2023,78239.72889497847,0.0,New,Kampot,Grey,99.8,541,283,5.3,Authorized Dealer,GB-T/CCS2,5/3/2023,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2023,28109.265920354843,29841.0,Excellent,Sihanoukville,Black,42.8,301,120,8.5,Private,GB-T/CCS2,3/2/2025,Synthetic (New Formula)
XPeng,XPeng G6,2023,44910.82875605238,3704.0,Like New,Phnom Penh,Black,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,10/7/2024,Synthetic (New Formula)
MG,MG 4 EV,2024,27853.988955508692,26505.0,New,Phnom Penh,Grey,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,26-01-2024,Synthetic (New Formula)
MG,MG 4 EV,2024,25275.557258360084,13024.0,New,Phnom Penh,White,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,14-04-2024,Synthetic (New Formula)
XPeng,XPeng G6,2024,46909.59089419165,15674.0,Excellent,Battambang,Green,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,15-12-2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,39309.10587156395,0.0,Like New,Siem Reap,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
BMW,BMW iX1,2024,61815.07598623125,26975.0,Good,Battambang,White,64.7,417,150,8.6,Dealer,GB-T/CCS2,24-02-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,47317.788445306694,13787.0,Like New,Phnom Penh,White,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,12/10/2024,Synthetic (New Formula)
Deepal,Deepal S07,2024,51564.20171449486,11100.0,Excellent,Phnom Penh,Black,31.6/80,200 PHEV,190,6.7,Dealer,GB-T/CCS2,13-03-2024,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2024,12969.28258408254,0.0,Excellent,Preah Vihear,White,41.3,403,80,,Authorized Dealer,GB-T/CCS2,10/2/2025,Synthetic (New Formula)
BYD,BYD Han,2021,59853.204044924656,6090.0,Excellent,Phnom Penh,White,76.9/85.4,500-610,180,3.9,Dealer,GB-T/CCS2,11/8/2025,Synthetic (New Formula)
Zeekr,Zeekr X,2022,60208.437649731655,23575.0,Like New,Kampong Cham,Black,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,7/1/2025,Synthetic (New Formula)
Nissan,Nissan Leaf,2023,29266.09635893794,17034.0,Excellent,Siem Reap,Black,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,23-11-2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2023,69412.20503907264,36680.0,Excellent,Kampot,White,66.5,419,168,8.0,Dealer,GB-T/CCS2,28-08-2025,Synthetic (New Formula)
BYD,BYD Dolphin,2023,25080.79913266833,5535.0,Excellent,Phnom Penh,Blue,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,17-10-2024,Synthetic (New Formula)
AION,AION Y Plus,2023,35418.51194849552,26975.0,New,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,Dealer,GB-T/CCS2,17-10-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,48961.29558614557,10197.0,New,Sihanoukville,White,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,18-07-2022,Synthetic (New Formula)
AITO,AITO M5,2020,53551.42089105938,35938.0,Like New,Phnom Penh,Grey,40,200 PHEV,200,4.8,Dealer,GB-T/CCS2,6/4/2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2022,47301.84304005511,25800.0,Excellent,Phnom Penh,Silver,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,12/8/2025,Synthetic (New Formula)
Deepal,Deepal L07,2023,50242.45268812535,31528.0,Like New,Phnom Penh,Black,31.6,200 PHEV,160,7.3,Private,GB-T/CCS2,1/2/2025,Synthetic (New Formula)
AITO,AITO M5,2023,48416.801574152734,20286.0,Like New,Kampong Cham,Black,40,200 PHEV,200,4.8,Private,GB-T/CCS2,10/3/2022,Synthetic (New Formula)
AION,AION V,2025,39578.43901325766,26102.0,Good,Phnom Penh,Blue,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,24-05-2025,Synthetic (New Formula)
XPeng,XPeng G6,2023,50617.2693155726,18432.0,Good,Phnom Penh,Black,66/87.5,435-570,190,6.2,Authorized Dealer,GB-T/CCS2,10/7/2024,Synthetic (New Formula)
MG,MG 4 EV,2025,23778.712670219025,6888.0,Good,Kratie,Grey,51/64/77,350-520,125,7.7,Private,GB-T/CCS2,9/11/2021,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,51322.56536584757,18972.0,Good,Kampot,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,27-04-2024,Synthetic (New Formula)
Avatr,Avatr 07,2023,49245.67380927109,14756.0,Excellent,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,2/6/2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,43734.060221294094,27347.0,Like New,Phnom Penh,White,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,25-08-2022,Synthetic (New Formula)
Kia,Kia EV5,2025,37125.41467479663,8190.0,Like New,Kampot,Silver,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,13-05-2024,Synthetic (New Formula)
XPeng,XPeng G6,2024,47818.142954214294,20330.0,New,Battambang,Red,66/87.5,435-570,190,6.2,Private,GB-T/CCS2,25-03-2023,Synthetic (New Formula)
BMW,BMW iX1,2020,63763.36619337723,12195.0,New,Koh Kong,Silver,64.7,417,150,8.6,Dealer,GB-T/CCS2,22-06-2025,Synthetic (New Formula)
BYD,BYD Seal 5,2025,20455.785188552207,0.0,Like New,Battambang,White,15.8,80 PHEV,110,7.9,Authorized Dealer,GB-T/CCS2,21-04-2025,Synthetic (New Formula)
AITO,AITO M5,2025,42906.59235591301,0.0,Excellent,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,13-01-2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2024,41354.319227300155,0.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,17-04-2024,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2020,14448.001326349759,10270.0,Like New,Preah Vihear,White,41.3,403,80,,Authorized Dealer,GB-T/CCS2,10/2/2025,Synthetic (New Formula)
AITO,AITO M7,2023,60165.96444770318,0.0,New,Kampong Cham,Grey,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,20-08-2022,Synthetic (New Formula)
BYD,BYD Tang,2024,67001.7634156112,33292.0,New,Phnom Penh,Pearl White,86.4/108.8,400-530,180,4.6,Dealer,GB-T/CCS2,23-02-2021,Synthetic (New Formula)
BYD,BYD Tang,2025,63792.947852900186,32032.0,Good,Phnom Penh,Grey,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,13-02-2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2025,45515.91013198254,33490.0,Like New,Kratie,White,58/72.6,354-488,125,7.4,Dealer,GB-T/CCS2,10/11/2022,Synthetic (New Formula)
Nissan,Nissan Leaf,2022,30387.85142068587,9185.0,New,Phnom Penh,Red,40/62,240-385,110,7.0,Dealer,GB-T/CCS2,15-07-2025,Synthetic (New Formula)
VinFast,VinFast VF 8,2022,45257.33810175725,8640.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,15-12-2022,Synthetic (New Formula)
Denza,Denza D9,2024,83720.27954008263,7511.0,New,Phnom Penh,Grey,103,600,230,6.9,Private,GB-T/CCS2,28-10-2022,Synthetic (New Formula)
BMW,BMW iX1,2025,53833.6736000023,0.0,Excellent,Kampong Cham,Green,64.7,417,150,8.6,Private,GB-T/CCS2,15-11-2023,Synthetic (New Formula)
MG,MG 4 EV,2024,25532.52755152849,19362.0,New,Phnom Penh,White,51/64/77,350-520,125,7.7,Private,GB-T/CCS2,7/2/2025,Synthetic (New Formula)
Deepal,Deepal S07,2020,55630.24618130105,11100.0,Like New,Phnom Penh,White,31.6/80,200 PHEV,190,6.7,Private,GB-T/CCS2,18-05-2025,Synthetic (New Formula)
BYD,BYD Atto 3,2020,31913.31668470245,23736.0,Excellent,Kampot,Black,50/60.5,340-420,150,7.3,Private,GB-T/CCS2,15-08-2024,Synthetic (New Formula)
Nissan,Nissan Leaf,2025,30661.261527781247,42883.0,New,Phnom Penh,White,40/62,240-385,110,7.0,Dealer,GB-T/CCS2,26-08-2020,Synthetic (New Formula)
BYD,BYD Sealion 6,2023,44658.999200873055,962.0,Like New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,16-11-2024,Synthetic (New Formula)
Zeekr,Zeekr X,2025,53532.73384768413,21720.0,New,Phnom Penh,Red,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,11/12/2023,Synthetic (New Formula)
AITO,AITO M5,2025,44320.528954556496,41667.0,Excellent,Battambang,Grey,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,10/7/2025,Synthetic (New Formula)
